name,cntry,Gndr,W4q50,C2weight,Eduyrs,Netusoft
CRON2W4e01,AT,Masculino,Algunas veces,2.3594236,11,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.64719534,13,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.43431893,14,Less often
CRON2W4e01,AT,Masculino,Algunas veces,3.221599,12,A few times a month
CRON2W4e01,AT,Femenino,Algunas veces,3.5392592,12,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.4109379,21,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.15726998,20,Less often
CRON2W4e01,AT,Femenino,Rara vez,1.3033638,14,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.3790756,25,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.36314145,14,A few times a month
CRON2W4e01,AT,Masculino,Rara vez,1.7129452,13,Less often
CRON2W4e01,AT,Femenino,Todo el tiempo,0.9650992,16,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.6949101,13,Less often
CRON2W4e01,AT,Masculino,Todo el tiempo,0.50983644,11,Most days
CRON2W4e01,AT,Masculino,Rara vez,0.8262225,25,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.72975636,12,Less often
CRON2W4e01,AT,Masculino,Rara vez,1.7498367,16,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.31095678,15,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.71037346,18,Less often
CRON2W4e01,AT,Masculino,Algunas veces,1.0807527,9,A few times a week
CRON2W4e01,AT,Masculino,Algunas veces,1.0810356,10,A few times a month
CRON2W4e01,AT,Femenino,Algunas veces,0.32729596,22,Less often
CRON2W4e01,AT,Masculino,Algunas veces,1.7206339,12,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.44499606,12,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.9117254,14,Less often
CRON2W4e01,AT,Masculino,Rara vez,2.3210714,13,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.80393106,15,Less often
CRON2W4e01,AT,Masculino,Nunca,3.3445206,18,Less often
CRON2W4e01,AT,Masculino,Rara vez,1.243293,17,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.21322554,15,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.7799433,16,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.84088844,11,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.28743848,15,Less often
CRON2W4e01,AT,Masculino,Todo el tiempo,0.394645,18,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.49037343,12,A few times a week
CRON2W4e01,AT,Femenino,Rara vez,0.67640376,15,Less often
CRON2W4e01,AT,Femenino,Todo el tiempo,0.30262727,13,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.3228321,14,Every day
CRON2W4e01,AT,Masculino,Algunas veces,0.9638492,14,Less often
CRON2W4e01,AT,Masculino,Rara vez,0.6341213,12,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.35418728,12,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.5316237,16,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.2923319,13,Less often
CRON2W4e01,AT,Femenino,Rara vez,2.4967275,11,Less often
CRON2W4e01,AT,Femenino,Algunas veces,2.4424365,13,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.70026284,18,Less often
CRON2W4e01,AT,Masculino,Algunas veces,2.4837956,17,Less often
CRON2W4e01,AT,Femenino,Todo el tiempo,1.9984834,8,A few times a week
CRON2W4e01,AT,Masculino,Algunas veces,0.38852662,12,A few times a week
CRON2W4e01,AT,Masculino,Rara vez,1.7255194,22,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.4014929,12,Less often
CRON2W4e01,AT,Femenino,Todo el tiempo,2.0159955,12,Less often
CRON2W4e01,AT,Masculino,Algunas veces,2.2968657,15,Less often
CRON2W4e01,AT,Femenino,Rara vez,1.2646235,12,A few times a month
CRON2W4e01,AT,Femenino,Algunas veces,0.3005798,14,Less often
